0	-1	0	0	-1	-1	0	-1	0	0	0	-1	0	0	1
0	-1	0	0	-1	-1	0	0	0	0	-2	0	-1	0	-1
0	-1	0	0	-1	-1	0	0	0	0	-1	0	0	0	-1
0	0	0	0	-1	-1	1	0	0	0	0	0	0	-1	-1
0	-1	0	-1	-1	-2	1	0	-1	-1	0	0	0	-1	-1
-1	-1	0	-1	-1	-2	-1	0	0	-1	-1	-1	-1	-1	-2
-1	-3	0	-4	-1	-2	-1	-1	-1	-2	-1	-1	-1	-1	-2
-4	-3	-1	-4	-1	-1	-4	-1	-1	-2	-2	-2	-1	-2	-2
-5	-6	-2	-7	-5	-5	-5	-3	-3	-4	-2	-2	-1	-3	-1
-9	-7	-6	-7	-6	-6	-6	-4	-4	-4	-5	-5	-3	-5	-4
-11	-15	-7	-13	-10	-9	-6	-6	-6	-6	-5	-5	-4	-5	-4
-22	-18	-12	-15	-11	-11	-9	-6	-7	-6	-7	-6	-5	-6	-6
-25	-26	-14	-18	-15	-12	-10	-8	-7	-8	-6	-6	-5	-5	-6
-36	-29	-20	-18	-15	-12	-11	-9	-7	-9	-8	-7	-6	-6	-6
-39	-35	-21	-19	-17	-13	-11	-9	-8	-8	-8	-7	-6	-5	-5
-45	-36	-22	-18	-17	-13	-10	-8	-8	-7	-7	-6	-6	-3	-4
-45	-35	-22	-14	-14	-12	-9	-7	-7	-7	-6	-5	-5	-3	-4
-41	-33	-21	-13	-13	-11	-7	-7	-6	-7	-5	-5	-3	-2	-2
-39	-28	-20	-10	-10	-8	-6	-4	-5	-4	-5	-5	-3	-1	-2
-33	-26	-15	-9	-9	-8	-5	-4	-5	-4	-3	-2	-2	-2	-1
-31	-19	-13	-6	-6	-5	-4	-3	-2	-2	-2	-2	-1	-2	0
-23	-17	-10	-5	-5	-5	-2	-1	-2	-1	-2	-1	-1	-1	-1
-20	-12	-9	-3	-4	-3	-2	-1	-1	-1	-1	0	-1	-1	-1
-16	-11	-6	-2	-3	-1	-1	-1	0	-1	-1	-1	-1	0	0
-15	-7	-5	-2	-1	-2	-1	-1	0	-1	0	-1	0	0	1
-10	-7	-3	-2	-1	-2	-1	0	0	0	0	0	0	0	1
-8	-5	-2	-1	-1	-1	0	0	0	0	0	0	0	1	1
-8	-4	-2	-1	-1	-1	1	0	0	0	0	0	1	0	1
-8	-4	-2	-1	0	0	1	0	0	1	0	0	1	1	1
-7	-4	-1	-1	-1	-1	1	0	0	1	1	1	1	1	1
-6	-2	-1	-1	0	0	1	1	1	0	1	1	1	1	1
-4	-2	-1	-1	1	1	2	0	1	0	1	1	1	0	1
-3	-2	-1	1	0	0	3	2	1	1	0	1	1	0	1
-4	-2	0	1	0	0	1	3	1	2	1	1	0	0	1
-4	-2	0	1	0	0	1	1	1	1	1	1	0	1	1
-4	-2	0	1	0	1	1	1	1	1	0	0	0	0	0
-5	-2	0	0	0	0	1	1	0	0	0	0	1	-1	0
-2	-3	1	-1	0	-1	1	1	0	0	1	0	0	-2	-1
-3	-1	1	1	1	0	0	0	1	0	1	0	0	-1	-1
-3	-2	0	1	1	0	1	0	1	0	-1	-1	-1	-1	0
-3	-1	0	0	0	-1	1	0	0	0	-1	-1	0	-1	1
