65535	92.0 
60000	92.0 
50000	92.0 
45000	92.0 
42500	91.9 
40000	91.0 
37500	87.0 
35000	81.3 
32500	75.4 
30000	69.4 
27500	63.5 
25000	57.5 
22500	51.6 
20000	45.7 
17500	39.7 
15000	33.74 
12500	27.78 
10000	21.81 
7500	15.84 
5000	9.87 
2500	3.99 
2000	2.79 
1600	1.62 
1536	0.77 
1500	0.48 
